english,chinese
"• At least 207 people were killed and at least 450 wounded in the day’s attacks, the police said. At least 35 of the dead were foreigners, several of them American, the authorities said. Others were British, Chinese, Dutch, Indian, Portuguese and Turkish citizens, according to officials and news reports.",•	警方称，当日的袭击造成至少207人死亡，至少450人受伤。当局表示，遇难者中有至少35名外国人士，其中几名是美国人。据官方消息及新闻报道，其他遇难者包括英国、中国、荷兰、印度、葡萄牙和土耳其公民。
"• Thirteen suspects were held in connection with the bombings, the authorities said. The government said suicide bombers had set off the explosions. Three officers were killed hunting for the attackers at a housing complex.",•	当局表示，拘留了13名与爆炸有关的嫌疑人。政府称，爆炸是由自杀式炸弹袭击者引爆。三名警察在一片住宅区追捕袭击者的过程中丧生。
"• A top Sri Lankan police official issued a letter on April 11 to government security officials warning of possible suicide attacks at Catholic churches by a radical Islamist group, National Thowheeth Jama’ath. It was unclear what safeguards, if any, were taken, or whether in the end the group played any role in the violence on Sunday.",•	4月11日，斯里兰卡一名高级警官曾致信政府安全官员，警告天主教堂可能会遭到极端伊斯兰组织NTJ (National Thowheeth Jama'ath)的自杀式袭击。尚不清楚政府采取了怎样的防护措施——如果有的话，或该组织是否最终参与了周日的暴力袭击。
"• Sri Lanka temporarily blocked major social media and messaging services, including Facebook, WhatsApp and Instagram, to curb the spread of misinformation.",•	斯里兰卡暂时屏蔽了包括Facebook、WhatsApp和Instagram在内的主要社交媒体和短信服务，以防止虚假信息的散播。
• The government set a nationwide curfew from 6 p.m. Sunday to 6 a.m. Monday.,•	政府下令于周日晚6点至周一早6点在全国范围内实施宵禁。
[Follow our live updatesFollow our live updates on the bombings.],[关注我们对爆炸袭击的直播更新。]
What we don’t know about the attacks,关于袭击，我们还不知道的情况
"• Who was behind the coordinated attacks remains unknown, although a Sri Lankan defense official said that all of the Colombo attacks had been carried out by suicide bombers and that the attackers were believed to be part of a single group.",•	谁是这起有组织袭击的幕后主使尚不清楚，尽管斯里兰卡国防官员表示，科伦坡的所有袭击都是由自杀式炸弹袭击者实施的，且袭击者据信属于同一个组织。
• Who the 13 people being held in connection with the attacks are.,• 与袭击有关的13个人的身份。
• What steps the authorities took to try to forestall an attack after the advisory a week and a half ago about a potential threat.,•	在一周半前收到可能发生袭击的报告后，当局采取了哪些尽力防止袭击发生的措施。
• Why Catholics appear to have been singled out in the bombings.,•	为何这起连环爆炸案似乎专门针对天主教徒。
"Kim Jong-un, the leader of North Korea, will meet with Vladimir V. Putin of Russia later this month, the first summit since Mr. Kim took power in 2011. Mr. Kim’s travels to Russia come as negotiations over nuclear disarmament deteriorate with the United States.",本月晚些时候，朝鲜领导人金正恩将与俄罗斯领导人弗拉基米尔·V·普京会面，这是他2011年上台以来两人首次举行峰会。金正恩此次俄罗斯之旅正值朝美核裁军谈判局面日渐恶化。
"My phone is my favorite possession. I wish I could pretend it has been some torrid courtship, that after much cat-and-mousing the two of us succumbed to our mutual attraction and decided to settle down and make an honest go of it, but I can’t: I am in breathless pursuit, hustling to keep her updated and paid for, wooing her with expensive protective cases and as many off-brand charging cords as there are outlets in my home. She acknowledges this attention with occasional notifications, blinking on the screen, reminders to update, so many needs. That makes me want her even more.",我的手机是我最喜欢的东西。真希望可以假装我们之间有一段炽烈的求爱期，经过多次猫鼠游戏之后，我们两都屈服于彼此的吸引力，决定确定关系，真诚地相处，但我做不到：我正处于一种令人窒息的追求中，我忙着让她保持更新并不欠费、用昂贵的保护壳和许许多多杂牌充电线讨好她——我家有多少插座，就有多少线。她则通过许多的需求——偶尔的通知、屏幕上的闪烁、更新提醒——来告诉我，她知道我在惦着她。这让我更想要她。
"I know that having her carelessly bouncing around the bottom of my bag all day and on the nightstand inches from my sleeping face, readily available for when I need to look up “recipes for morons” or “the best way to wash a cat,” is putting my precious information at risk. My phone is always listening, and through a series of bloops and bleeps I do not understand, the data I have spewed into the universe gets sold and fed back to me in a targeted Instagram ad for whatever it is I now urgently need.",我知道，让她整天在我包里随意地蹦蹦跳跳，把她放在床头柜距离我睡觉的脸几英寸的地方，让我随时可以查找“傻瓜菜谱”或“给猫洗澡最好的方法”，是将我珍贵的信息置于危险之中。我的手机一直在聆听，通过一系列我不理解的杂音和哔哔声，我释出到这宇宙的数据被卖掉，然后以一则定向的Instagram广告反馈回给我，无论我现在迫切需要的是什么。
"I don’t know how thrilled I am to be giving up my secrets, but it’s foolish to think I have any control over them, and ultimately I don’t care. I love convenience and entertainment too much to worry about how much information I cannot control is being leaked to marketers, retailers, the government and whatever Chinese intelligence agency controls the barrage of ads for $13 dresses that saturate my feed.",我不知道我到底有多乐意将自己的秘密拱手让出，但傻子才会认为这是个我能左右的过程，况且说到底我也不在乎。我太爱便利和娱乐了，以至于无暇担心有多少我不能控制的信息被泄露给了营销商、零售商、政府或是不知道哪个中国情报机构，是它们在控制那些对我的时间线狂轰滥炸的13美元裙子广告。
